feature_set,model,gate,threshold,calls,accuracy,coverage,avg_ask,median_ask,pct_20_40,avg_time,median_time
BRTI,RF,OPEN,0.7,5,60.0,33.333333333333336,35.0,39.0,40.0,8.606864203333334,9.4735987
BRTI,RF,OPEN,0.75,3,100.0,20.0,32.33333333333333,39.0,33.33333333333333,8.876940772222222,9.4735987
BRTI,RF,OPEN,0.8,1,100.0,6.666666666666667,12.0,12.0,0.0,7.542187433333334,7.542187433333334
BRTI,RF,OPEN,0.85,0,,0.0,,,,,
BRTI,RF,OPEN,0.9,0,,0.0,,,,,
BRTI,RF,BRTI,0.6,7,57.14285714285714,46.666666666666664,40.285714285714285,42.0,42.857142857142854,8.501906576190477,9.48238015
BRTI,RF,BRTI,0.65,6,66.66666666666666,40.0,39.833333333333336,40.5,50.0,8.31078843888889,8.34142355
BRTI,RF,BRTI,0.7,3,66.66666666666666,20.0,44.333333333333336,46.0,33.33333333333333,9.697524677777777,9.6982438
BRTI,RF,BRTI,0.75,2,100.0,13.333333333333334,42.50000000000001,42.50000000000001,50.0,9.544317441666667,9.544317441666667
BRTI,RF,BRTI,0.8,0,,0.0,,,,,
BRTI,RF,BRTI,0.85,0,,0.0,,,,,
BRTI,RF,BRTI,0.9,0,,0.0,,,,,
BRTI,RF,BRTI_SAFE,0.6,7,57.14285714285714,46.666666666666664,40.285714285714285,42.0,42.857142857142854,8.501906576190477,9.48238015
BRTI,RF,BRTI_SAFE,0.65,6,66.66666666666666,40.0,39.833333333333336,40.5,50.0,8.31078843888889,8.34142355
BRTI,RF,BRTI_SAFE,0.7,3,66.66666666666666,20.0,44.333333333333336,46.0,33.33333333333333,9.697524677777777,9.6982438
BRTI,RF,BRTI_SAFE,0.75,2,100.0,13.333333333333334,42.50000000000001,42.50000000000001,50.0,9.544317441666667,9.544317441666667
BRTI,RF,BRTI_SAFE,0.8,0,,0.0,,,,,
BRTI,RF,BRTI_SAFE,0.85,0,,0.0,,,,,
BRTI,RF,BRTI_SAFE,0.9,0,,0.0,,,,,
BRTI,RF,BRTI_SAFE_LAG,0.6,7,42.857142857142854,46.666666666666664,41.714285714285715,43.0,28.57142857142857,8.216268219047619,9.48238015
BRTI,RF,BRTI_SAFE_LAG,0.65,5,60.0,33.333333333333336,40.0,42.0,40.0,8.514498126666666,9.4735987
BRTI,RF,BRTI_SAFE_LAG,0.7,3,66.66666666666666,20.0,44.333333333333336,46.0,33.33333333333333,9.697524677777777,9.6982438
