ticker,target_brti,final_brti,result,target_cb_close,target_cb_ohlc4,target_cb_hl2,final_cb_close,final_cb_ohlc4,final_cb_hl2,target_err_close,final_err_close,target_err_ohlc4,final_err_ohlc4,target_err_hl2,final_err_hl2
KXBTC15M-26AUG152115-15,63019.27,62990.62,no,63012.93,63015.17,63015.17,62983.3,62982.667499999996,62982.665,-6.3399999999965075,-7.319999999999709,-4.099999999998545,-7.952500000006694,-4.099999999998545,-7.955000000001746
KXBTC15M-26AUG152130-30,62990.62,62995.06,yes,62983.3,62982.667499999996,62982.665,62985.95,62986.292499999996,62986.195,-7.319999999999709,-9.110000000000582,-7.952500000006694,-8.767500000001746,-7.955000000001746,-8.864999999997963
KXBTC15M-26AUG152145-45,62995.06,62995.81,yes,62985.95,62986.292499999996,62986.195,63002.96,62993.9425,62995.015,-9.110000000000582,7.150000000001455,-8.767500000001746,-1.867500000000291,-8.864999999997963,-0.7949999999982538
KXBTC15M-26AUG152200-00,62995.81,63011.35,yes,63002.96,62993.9425,62995.015,63013.9,62997.134999999995,62997.825,7.150000000001455,2.5500000000029104,-1.867500000000291,-14.215000000003783,-0.7949999999982538,-13.525000000001455
KXBTC15M-26AUG152215-15,63011.35,62960.15,no,63013.9,62997.134999999995,62997.825,62958.58,62954.69,62954.770000000004,2.5500000000029104,-1.569999999999709,-14.215000000003783,-5.459999999999127,-13.525000000001455,-5.379999999997381
KXBTC15M-26AUG152230-30,62960.15,63046.48,yes,62958.58,62954.69,62954.770000000004,63046.08,63045.082500000004,63046.26,-1.569999999999709,-0.4000000000014552,-5.459999999999127,-1.3974999999991269,-5.379999999997381,-0.22000000000116415
KXBTC15M-26AUG152245-45,63046.48,63083.26,yes,63046.08,63045.082500000004,63046.26,63085.48,63083.73500000001,63083.195,-0.4000000000014552,2.220000000001164,-1.3974999999991269,0.47500000000582077,-0.22000000000116415,-0.0650000000023283
KXBTC15M-26AUG152300-00,63083.26,63055.3,no,63085.48,63083.73500000001,63083.195,63054.45,63053.02500000001,63052.155,2.220000000001164,-0.8500000000058208,0.47500000000582077,-2.2749999999941792,-0.0650000000023283,-3.1450000000040745
KXBTC15M-26AUG152315-15,63055.3,63054.62,no,63054.45,63053.02500000001,63052.155,63050.97,63050.9775,63050.979999999996,-0.8500000000058208,-3.650000000001455,-2.2749999999941792,-3.6425000000017462,-3.1450000000040745,-3.640000000006694
KXBTC15M-26AUG152330-30,63054.62,63054.21,no,63050.97,63050.9775,63050.979999999996,63050.45,63050.1375,63049.825,-3.650000000001455,-3.7600000000020373,-3.6425000000017462,-4.072500000002037,-3.640000000006694,-4.385000000002037
KXBTC15M-26AUG152345-45,63054.21,63055.57,yes,63050.45,63050.1375,63049.825,63052.49,63052.494999999995,63052.494999999995,-3.7600000000020373,-3.0800000000017462,-4.072500000002037,-3.0750000000043656,-4.385000000002037,-3.0750000000043656
KXBTC15M-26AUG160000-00,63055.57,63061.22,yes,63052.49,63052.494999999995,63052.494999999995,63059.43,63056.9525,63057.335,-3.0800000000017462,-1.7900000000008731,-3.0750000000043656,-4.267500000001746,-3.0750000000043656,-3.8850000000020373
KXBTC15M-26AUG160015-15,63061.22,63065.28,yes,63059.43,63056.9525,63057.335,63063.07,63062.630000000005,63063.11,-1.7900000000008731,-2.209999999999127,-4.267500000001746,-2.6499999999941792,-3.8850000000020373,-2.1699999999982538
KXBTC15M-26AUG160030-30,63065.28,63084.86,yes,63063.07,63062.630000000005,63063.11,63082.48,63082.340000000004,63082.19,-2.209999999999127,-2.3799999999973807,-2.6499999999941792,-2.5199999999967986,-2.1699999999982538,-2.6699999999982538
KXBTC15M-26AUG160045-45,63084.86,63055.6,no,63082.48,63082.340000000004,63082.19,63051.68,63052.5925,63053.545,-2.3799999999973807,-3.9199999999982538,-2.5199999999967986,-3.007499999999709,-2.6699999999982538,-2.055000000000291
KXBTC15M-26AUG160100-00,63055.6,63024.95,no,63051.68,63052.5925,63053.545,63016.92,63017.22,63017.11,-3.9199999999982538,-8.029999999998836,-3.007499999999709,-7.7299999999959255,-2.055000000000291,-7.8399999999965075
KXBTC15M-26AUG160115-15,63024.95,63030.68,yes,63016.92,63017.22,63017.11,63029.55,63029.7375,63029.93,-8.029999999998836,-1.1299999999973807,-7.7299999999959255,-0.9424999999973807,-7.8399999999965075,-0.75
KXBTC15M-26AUG160130-30,63030.68,63006.18,no,63029.55,63029.7375,63029.93,63000.0,63001.78,63001.78,-1.1299999999973807,-6.180000000000291,-0.9424999999973807,-4.400000000001455,-0.75,-4.400000000001455
