ask_max,fair_min,edge_min,min_tl,max_tl,min_gap,min_ratio,persistence,strengthening,side_agree,calls,contracts,coverage,accuracy,avg_ask,median_ask,avg_time_left,median_time_left,avg_fair,avg_edge,validation_rank
0.4,0.7,0.08,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,114
0.4,0.7,0.1,2.0,10.0,25.0,0.0,1,False,False,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,115
0.4,0.7,0.1,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,116
0.4,0.7,0.12,2.0,10.0,25.0,0.0,1,False,False,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,117
0.4,0.7,0.12,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,118
0.4,0.7,0.15,2.0,10.0,25.0,0.0,1,False,False,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,119
0.4,0.7,0.15,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,120
0.4,0.7,0.2,2.0,10.0,25.0,0.0,1,False,False,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,121
0.4,0.7,0.2,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,122
0.4,0.7,0.25,2.0,10.0,25.0,0.0,1,False,False,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,123
0.4,0.7,0.25,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,124
0.5,0.65,0.08,10.0,10.0,0.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,125
0.5,0.65,0.08,10.0,10.0,0.0,0.0,1,False,True,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,126
0.5,0.65,0.1,10.0,10.0,0.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,127
0.5,0.65,0.1,10.0,10.0,0.0,0.0,1,False,True,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,128
0.5,0.65,0.12,10.0,10.0,0.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,129
0.5,0.65,0.12,10.0,10.0,0.0,0.0,1,False,True,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,130
0.5,0.65,0.15,10.0,10.0,0.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,131
0.5,0.65,0.15,10.0,10.0,0.0,0.0,1,False,True,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,132
0.5,0.65,0.2,10.0,10.0,0.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,133
0.5,0.65,0.2,10.0,10.0,0.0,0.0,1,False,True,12,99,0.12121212121212122,0.9166666666666666,0.43083333333333335,0.45999999999999996,10.0,10.0,0.8176624833518021,0.3868291500184689,134
0.45,0.6,0.25,4.0,10.0,25.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.3766666666666667,0.38,6.583333333333333,5.5,0.8099456063002711,0.43327893963360453,135
0.45,0.6,0.25,4.0,10.0,25.0,0.0,1,False,True,12,99,0.12121212121212122,0.9166666666666666,0.3766666666666667,0.38,6.583333333333333,5.5,0.8099456063002711,0.43327893963360453,136
0.45,0.65,0.25,4.0,10.0,25.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.3766666666666667,0.38,6.583333333333333,5.5,0.8099456063002711,0.43327893963360453,137
0.45,0.65,0.25,4.0,10.0,25.0,0.0,1,False,True,12,99,0.12121212121212122,0.9166666666666666,0.3766666666666667,0.38,6.583333333333333,5.5,0.8099456063002711,0.43327893963360453,138
0.4,0.8,0.08,2.0,12.0,0.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.33,0.36,6.0,4.5,0.8477030004205677,0.5177030004205679,139
0.4,0.8,0.08,2.0,12.0,0.0,0.0,1,False,True,12,99,0.12121212121212122,0.9166666666666666,0.33,0.36,6.0,4.5,0.8477030004205677,0.5177030004205679,140
0.4,0.8,0.1,2.0,12.0,0.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.33,0.36,6.0,4.5,0.8477030004205677,0.5177030004205679,141
0.4,0.8,0.1,2.0,12.0,0.0,0.0,1,False,True,12,99,0.12121212121212122,0.9166666666666666,0.33,0.36,6.0,4.5,0.8477030004205677,0.5177030004205679,142
0.4,0.8,0.12,2.0,12.0,0.0,0.0,1,False,False,12,99,0.12121212121212122,0.9166666666666666,0.33,0.36,6.0,4.5,0.8477030004205677,0.5177030004205679,143
