signal_id,contract,side,entry_timestamp_utc,entry_ask,armed,arm_timestamp_utc,arm_seconds,peak_profit_c,exit_timestamp_utc,exit_seconds,exit_bid,profit_c,roi_pct,exit_reason,brti_ready_at_exit,brti_side_at_exit,brti_agreed_at_exit,target_profit_c,floor_profit_c,trail_c,notes
KXBTC15M-26SEP041145-45|DOWN|SCALP|1788535991573,KXBTC15M-26SEP041145-45,DOWN,2026-09-04T15:33:11.573536+00:00,0.44,True,2026-09-04T15:34:06.624233+00:00,55.1,12.0,2026-09-04T15:34:11.584765+00:00,60.0,0.56,12.0,27.3,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041145-45|UP|SCALP|1788536046624,KXBTC15M-26SEP041145-45,UP,2026-09-04T15:34:06.624233+00:00,0.44,True,2026-09-04T15:36:06.598444+00:00,120.0,20.0,2026-09-04T15:36:11.580587+00:00,125.0,0.64,20.0,45.5,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041200-00|DOWN|SCALP|1788536787174,KXBTC15M-26SEP041200-00,DOWN,2026-09-04T15:46:27.174748+00:00,0.45,True,2026-09-04T15:47:07.195941+00:00,40.0,22.0,2026-09-04T15:47:52.204478+00:00,85.0,0.67,22.0,48.9,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041215-15|UP|SCALP|1788537743205,KXBTC15M-26SEP041215-15,UP,2026-09-04T16:02:23.205061+00:00,0.42,True,2026-09-04T16:02:58.102085+00:00,34.9,21.0,2026-09-04T16:03:03.094608+00:00,39.9,0.63,21.0,50.0,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041215-15|DOWN|SCALP|1788537998099,KXBTC15M-26SEP041215-15,DOWN,2026-09-04T16:06:38.099147+00:00,0.38,True,2026-09-04T16:06:43.136665+00:00,5.0,11.0,2026-09-04T16:06:48.097107+00:00,10.0,0.49,11.0,28.9,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041300-00|UP|SCALP|1788540699319,KXBTC15M-26SEP041300-00,UP,2026-09-04T16:51:39.319394+00:00,0.35,True,2026-09-04T16:51:54.322952+00:00,15.0,23.0,2026-09-04T16:52:24.330941+00:00,45.0,0.58,23.0,65.7,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041300-00|DOWN|SCALP|1788540759332,KXBTC15M-26SEP041300-00,DOWN,2026-09-04T16:52:39.332725+00:00,0.42,True,2026-09-04T16:52:54.330646+00:00,15.0,23.0,2026-09-04T16:52:59.349965+00:00,20.0,0.65,23.0,54.8,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041345-45|DOWN|SCALP|1788543145599,KXBTC15M-26SEP041345-45,DOWN,2026-09-04T17:32:25.599541+00:00,0.36,True,2026-09-04T17:32:40.594727+00:00,15.0,13.0,2026-09-04T17:33:00.576259+00:00,35.0,0.49,13.0,36.1,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041345-45|DOWN|SCALP|1788543730610,KXBTC15M-26SEP041345-45,DOWN,2026-09-04T17:42:10.610902+00:00,0.33,True,2026-09-04T17:42:25.650677+00:00,15.0,42.0,2026-09-04T17:42:30.614965+00:00,20.0,0.75,42.0,127.3,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041630-30|DOWN|SCALP|1788553047325,KXBTC15M-26SEP041630-30,DOWN,2026-09-04T20:17:27.325743+00:00,0.39,True,2026-09-04T20:17:47.339011+00:00,20.0,13.0,2026-09-04T20:17:52.328613+00:00,25.0,0.52,13.0,33.3,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041630-30|DOWN|SCALP|1788553237332,KXBTC15M-26SEP041630-30,DOWN,2026-09-04T20:20:37.332076+00:00,0.37,True,2026-09-04T20:20:57.331668+00:00,20.0,13.0,2026-09-04T20:21:02.330663+00:00,25.0,0.5,13.0,35.1,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
