contract,candle_end_utc,yes_ask,yes_bid,no_ask
KXBTC15M-26AUG202315-15,2026-08-21 03:15:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG202330-30,2026-08-21 03:16:00+00:00,0.37,0.36,0.64
KXBTC15M-26AUG202330-30,2026-08-21 03:17:00+00:00,0.54,0.53,0.47
KXBTC15M-26AUG202330-30,2026-08-21 03:18:00+00:00,0.58,0.57,0.43
KXBTC15M-26AUG202330-30,2026-08-21 03:19:00+00:00,0.44,0.43,0.5700000000000001
KXBTC15M-26AUG202330-30,2026-08-21 03:20:00+00:00,0.44,0.43,0.5700000000000001
KXBTC15M-26AUG202330-30,2026-08-21 03:21:00+00:00,0.61,0.6,0.4
KXBTC15M-26AUG202330-30,2026-08-21 03:22:00+00:00,0.67,0.66,0.3399999999999999
KXBTC15M-26AUG202330-30,2026-08-21 03:23:00+00:00,0.66,0.65,0.35
KXBTC15M-26AUG202330-30,2026-08-21 03:24:00+00:00,0.9,0.89,0.1099999999999999
KXBTC15M-26AUG202330-30,2026-08-21 03:25:00+00:00,0.85,0.84,0.16
KXBTC15M-26AUG202330-30,2026-08-21 03:26:00+00:00,0.85,0.84,0.16
KXBTC15M-26AUG202330-30,2026-08-21 03:27:00+00:00,0.949,0.948,0.052
KXBTC15M-26AUG202330-30,2026-08-21 03:28:00+00:00,0.996,0.995,0.005
KXBTC15M-26AUG202330-30,2026-08-21 03:29:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG202330-30,2026-08-21 03:30:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG202345-45,2026-08-21 03:31:00+00:00,0.56,0.55,0.4499999999999999
KXBTC15M-26AUG202345-45,2026-08-21 03:32:00+00:00,0.57,0.56,0.4399999999999999
KXBTC15M-26AUG202345-45,2026-08-21 03:33:00+00:00,0.59,0.58,0.42
KXBTC15M-26AUG202345-45,2026-08-21 03:34:00+00:00,0.53,0.52,0.48
KXBTC15M-26AUG202345-45,2026-08-21 03:35:00+00:00,0.44,0.43,0.5700000000000001
KXBTC15M-26AUG202345-45,2026-08-21 03:36:00+00:00,0.46,0.45,0.55
KXBTC15M-26AUG202345-45,2026-08-21 03:37:00+00:00,0.27,0.26,0.74
KXBTC15M-26AUG202345-45,2026-08-21 03:38:00+00:00,0.15,0.14,0.86
