target_roi,stop_roi,model,gate,threshold,calls,accuracy,coverage,avg_ask,avg_target_c,avg_stop_c,avg_time
0.25,0.18,LOGISTIC,OPEN,0.55,4,25.0,57.142857142857146,26.25,7.25,5.5,7.535567645833334
0.25,0.18,LOGISTIC,OPEN,0.6,4,25.0,57.142857142857146,26.25,7.25,5.5,7.535567645833334
0.25,0.18,LOGISTIC,OPEN,0.65,4,25.0,57.142857142857146,26.25,7.25,5.5,7.535567645833334
0.25,0.18,LOGISTIC,OPEN,0.7,4,25.0,57.142857142857146,26.25,7.25,5.5,7.535567645833334
0.25,0.18,LOGISTIC,OPEN,0.75,4,25.0,57.142857142857146,26.25,7.25,5.5,7.535567645833334
0.25,0.18,LOGISTIC,OPEN,0.8,4,25.0,57.142857142857146,26.25,7.25,5.5,7.535567645833334
0.25,0.18,LOGISTIC,OPEN,0.85,4,25.0,57.142857142857146,25.25,7.0,5.25,6.8480272625000005
0.25,0.18,LOGISTIC,OPEN,0.9,3,33.33333333333333,42.857142857142854,18.333333333333336,5.666666666666667,4.666666666666667,7.013836305555555
0.25,0.18,LOGISTIC,PULLBACK,0.55,3,0.0,42.857142857142854,28.666666666666668,8.0,6.0,8.79171362777778
0.25,0.18,LOGISTIC,PULLBACK,0.6,3,0.0,42.857142857142854,28.666666666666668,8.0,6.0,8.79171362777778
0.25,0.18,LOGISTIC,PULLBACK,0.65,3,0.0,42.857142857142854,28.666666666666668,8.0,6.0,8.79171362777778
0.25,0.18,LOGISTIC,PULLBACK,0.7,3,0.0,42.857142857142854,28.666666666666668,8.0,6.0,8.79171362777778
0.25,0.18,LOGISTIC,PULLBACK,0.75,3,0.0,42.857142857142854,28.666666666666668,8.0,6.0,8.79171362777778
0.25,0.18,LOGISTIC,PULLBACK,0.8,3,0.0,42.857142857142854,28.666666666666668,8.0,6.0,8.79171362777778
0.25,0.18,LOGISTIC,PULLBACK,0.85,3,0.0,42.857142857142854,27.333333333333332,7.666666666666667,5.666666666666667,7.8749931166666665
0.25,0.18,LOGISTIC,PULLBACK,0.9,2,0.0,28.571428571428573,22.0,6.5,5.0,8.467068983333334
0.25,0.18,LOGISTIC,LAG,0.55,4,25.0,57.142857142857146,25.25,7.0,5.25,6.868536333333333
0.25,0.18,LOGISTIC,LAG,0.6,4,25.0,57.142857142857146,25.25,7.0,5.25,6.868536333333333
0.25,0.18,LOGISTIC,LAG,0.65,4,25.0,57.142857142857146,25.25,7.0,5.25,6.868536333333333
0.25,0.18,LOGISTIC,LAG,0.7,4,25.0,57.142857142857146,25.25,7.0,5.25,6.868536333333333
0.25,0.18,LOGISTIC,LAG,0.75,4,25.0,57.142857142857146,25.25,7.0,5.25,6.868536333333333
0.25,0.18,LOGISTIC,LAG,0.8,4,25.0,57.142857142857146,25.25,7.0,5.25,6.8480272625000005
0.25,0.18,LOGISTIC,LAG,0.85,4,25.0,57.142857142857146,25.25,7.0,5.25,6.8480272625000005
0.25,0.18,LOGISTIC,LAG,0.9,3,33.33333333333333,42.857142857142854,18.333333333333336,5.666666666666667,4.666666666666667,7.013836305555555
0.25,0.18,LOGISTIC,BRTI,0.55,0,,0.0,,,,
0.25,0.18,LOGISTIC,BRTI,0.6,0,,0.0,,,,
0.25,0.18,LOGISTIC,BRTI,0.65,0,,0.0,,,,
0.25,0.18,LOGISTIC,BRTI,0.7,0,,0.0,,,,
0.25,0.18,LOGISTIC,BRTI,0.75,0,,0.0,,,,
0.25,0.18,LOGISTIC,BRTI,0.8,0,,0.0,,,,
0.25,0.18,LOGISTIC,BRTI,0.85,0,,0.0,,,,
0.25,0.18,LOGISTIC,BRTI,0.9,0,,0.0,,,,
0.25,0.18,LOGISTIC,HYBRID,0.55,0,,0.0,,,,
