fair_min,max_time_left,early_boundary,early_gap,late_gap,min_support,min_dist_range,calls,contracts,coverage,accuracy,avg_time_left,median_time_left,pct_calls_5plus_min_left,avg_gap,avg_fair,validation_rank
0.9,9.0,7.0,150.0,75.0,2,0.0,69,99,0.696969696969697,0.9420289855072463,6.144927536231884,7.0,0.7681159420289855,218.87246376811547,0.91128928316293,1953
0.9,9.0,6.0,150.0,75.0,2,0.0,69,99,0.696969696969697,0.9420289855072463,5.971014492753623,6.0,0.7536231884057971,219.66739130434786,0.9113339089975241,1954
0.9,8.0,7.0,125.0,75.0,2,0.0,69,99,0.696969696969697,0.9420289855072463,5.913043478260869,7.0,0.7681159420289855,219.94463768115952,0.9109838775300751,1955
0.9,8.0,6.0,125.0,75.0,2,0.0,69,99,0.696969696969697,0.9420289855072463,5.753623188405797,6.0,0.7536231884057971,221.3917391304354,0.9111576341742218,1956
0.9,9.0,7.0,110.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,6.220588235294118,7.0,0.7205882352941176,232.43999999999997,0.9131317236355175,1957
0.9,9.0,6.0,110.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,6.161764705882353,6.5,0.7205882352941176,233.6720588235296,0.9132225848903585,1958
0.9,10.0,7.0,150.0,50.0,3,0.0,68,99,0.6868686868686869,0.9411764705882353,6.102941176470588,6.5,0.7205882352941176,221.48147058823474,0.9121771147180244,1959
0.9,10.0,6.0,150.0,50.0,3,0.0,68,99,0.6868686868686869,0.9411764705882353,5.9411764705882355,6.0,0.7058823529411765,221.64647058823516,0.9120527649230792,1960
0.9,9.0,7.0,150.0,50.0,3,0.0,68,99,0.6868686868686869,0.9411764705882353,5.897058823529412,6.0,0.7205882352941176,225.92661764705852,0.9123218348575042,1961
0.9,8.0,6.0,75.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.882352941176471,7.0,0.7058823529411765,235.35705882352983,0.9128575816717178,1962
0.9,8.0,7.0,75.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.882352941176471,7.0,0.7058823529411765,235.35705882352983,0.9128575816717178,1963
0.9,8.0,7.0,90.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.882352941176471,7.0,0.7058823529411765,235.35705882352983,0.9128575816717178,1964
0.9,8.0,8.0,75.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.882352941176471,7.0,0.7058823529411765,235.35705882352983,0.9128575816717178,1965
0.9,8.0,8.0,90.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.882352941176471,7.0,0.7058823529411765,235.35705882352983,0.9128575816717178,1966
0.9,8.0,8.0,100.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.882352941176471,7.0,0.7058823529411765,235.35705882352983,0.9128575816717178,1967
0.9,8.0,8.0,110.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.882352941176471,7.0,0.7058823529411765,235.35705882352983,0.9128575816717178,1968
0.9,8.0,8.0,125.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.882352941176471,7.0,0.7058823529411765,235.35705882352983,0.9128575816717178,1969
0.9,8.0,8.0,150.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.882352941176471,7.0,0.7058823529411765,235.35705882352983,0.9128575816717178,1970
0.9,8.0,7.0,100.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.867647058823529,7.0,0.7058823529411765,235.66264705882392,0.9128957642476658,1971
