ticker,elapsed,remaining,current_side,dist_target,abs_dist_target,dist_target_pct,move_from_start,move_from_start_pct,move1,move2,move3,move5,support1,support2,support3,support5,range5,vol5,dist_per_min_remaining,dist_over_range5,final_side,flip,snapshot_utc,start,fair_up,fair_down,preferred_side_num,preferred_side,preferred_fair,candle_end_utc,yes_ask,yes_bid,no_ask,preferred_ask,edge,correct,preferred_agrees_current,fair_ask_ratio,edge_per_time,gap_per_time,model_prob
KXBTC15M-26SEP011645-45,10.0,5.0,0,-32.10000000000582,32.10000000000582,-0.00041493185939892816,-38.25,-0.0004943888481386098,-66.66999999999825,-27.210000000006403,-85.08000000000175,-69.58999999999651,66.66999999999825,27.210000000006403,85.08000000000175,69.58999999999651,115.9600000000064,0.0005769139593579731,6.420000000001164,0.27681959296312564,0,0,2026-09-01 20:40:00+00:00,2026-09-01 20:30:00+00:00,0.3790400959546746,0.6209599040453254,0,DOWN,0.6209599040453254,2026-09-01 20:40:00+00:00,0.76,0.75,0.25,0.25,0.3709599040453254,1,1,2.4838396161813017,0.07419198080906508,6.420000000001164,0.5316972571508033
KXBTC15M-26SEP011730-30,7.0,8.0,1,74.06999999999243,74.06999999999243,0.0009609770906797084,64.77999999999884,0.0008403482347043952,114.80999999999767,82.72000000000116,169.9499999999971,251.4499999999971,114.80999999999767,82.72000000000116,169.9499999999971,251.4499999999971,295.3899999999994,0.0007205911010869757,9.258749999999054,0.2507532414773438,1,0,2026-09-01 21:22:00+00:00,2026-09-01 21:15:00+00:00,0.8530099587840854,0.14699004121591464,1,UP,0.8530099587840854,2026-09-01 21:22:00+00:00,0.41,0.4,0.6,0.41,0.4430099587840854,1,1,2.0805120945953304,0.055376244848010674,9.258749999999054,0.7280864963478254
KXBTC15M-26SEP011745-45,10.0,5.0,1,19.139999999999418,19.139999999999418,0.00024809412125813296,34.30999999999767,0.0004448162698778184,36.229999999995925,84.91000000000349,120.38999999999942,85.0,36.229999999995925,84.91000000000349,120.38999999999942,85.0,126.6200000000099,0.00032768451160151486,3.8279999999998835,0.15116095403568094,0,1,2026-09-01 21:40:00+00:00,2026-09-01 21:30:00+00:00,0.7624682279149515,0.2375317720850485,1,UP,0.7624682279149515,2026-09-01 21:40:00+00:00,0.48,0.47,0.53,0.48,0.2824682279149515,0,1,1.5884754748228156,0.056493645582990304,3.8279999999998835,0.5013254798811525
KXBTC15M-26SEP012100-00,11.0,4.0,1,18.919999999998254,18.919999999998254,0.0002450334745254322,16.820000000006985,0.0002178303886084677,72.86999999999534,96.25999999999476,52.86999999999534,36.18000000000757,72.86999999999534,96.25999999999476,52.86999999999534,36.18000000000757,96.25999999999476,0.000545284617162324,4.729999999999563,0.19655100768750555,0,1,2026-09-02 00:56:00+00:00,2026-09-02 00:45:00+00:00,0.788016063077833,0.211983936922167,1,UP,0.788016063077833,2026-09-02 00:56:00+00:00,0.19,0.18,0.8200000000000001,0.19,0.5980160630778331,0,1,4.147452963567542,0.14950401576945826,4.729999999999563,0.5455328009789923
KXBTC15M-26SEP012115-15,8.0,7.0,0,-72.92999999999302,72.92999999999302,-0.0009448495722523995,-80.01999999998952,-0.0010366093314529128,-38.64999999999418,-12.269999999989523,-38.63999999999942,-73.8799999999901,38.64999999999418,12.269999999989523,38.63999999999942,73.8799999999901,83.59999999999127,0.000317054459534678,10.41857142857043,0.8723684210526391,1,1,2026-09-02 01:08:00+00:00,2026-09-02 01:00:00+00:00,0.2458507732173401,0.7541492267826599,0,DOWN,0.7541492267826599,2026-09-02 01:08:00+00:00,0.51,0.5,0.5,0.5,0.25414922678265994,0,1,1.5082984535653199,0.03630703239752285,10.41857142857043,0.6034215366051602
KXBTC15M-26SEP012130-30,10.0,5.0,0,-77.11999999999534,77.11999999999534,-0.000997641596997494,-13.919999999998254,-0.0001802195804689911,-62.19000000000233,-19.479999999995925,-11.160000000003492,-6.8399999999965075,62.19000000000233,19.479999999995925,11.160000000003492,6.8399999999965075,78.64999999999418,0.00049048905336335,15.423999999999069,0.9805467260012848,0,0,2026-09-02 01:25:00+00:00,2026-09-02 01:15:00+00:00,0.20017747180304193,0.7998225281969581,0,DOWN,0.7998225281969581,2026-09-02 01:25:00+00:00,0.54,0.53,0.47,0.47,0.3298225281969581,1,1,1.701750059993528,0.06596450563939163,15.423999999999069,0.6714858607693471
KXBTC15M-26SEP012215-15,6.0,9.0,1,125.99000000000524,125.99000000000524,0.0016369610446408105,153.6999999999971,0.001997710366570066,168.75,146.5399999999936,158.74000000000524,137.06999999999243,168.75,146.5399999999936,158.74000000000524,137.06999999999243,198.81000000001222,0.001158123432683342,13.998888888889471,0.6337206377948669,1,0,2026-09-02 02:06:00+00:00,2026-09-02 02:00:00+00:00,0.918353985484058,0.081646014515942,1,UP,0.918353985484058,2026-09-02 02:06:00+00:00,0.41,0.4,0.6,0.41,0.508353985484058,1,1,2.239887769473312,0.05648377616489533,13.998888888889471,0.7875792223254965
KXBTC15M-26SEP020000-00,11.0,4.0,0,-36.5399999999936,36.5399999999936,-0.0004714914148302966,-83.06999999999243,-0.0010712449460179006,-53.919999999998254,-83.30999999999767,-81.10000000000582,-58.44999999999709,53.919999999998254,83.30999999999767,81.10000000000582,58.44999999999709,94.31999999999243,0.0003400812269178976,9.1349999999984,0.38740458015263496,1,1,2026-09-02 03:56:00+00:00,2026-09-02 03:45:00+00:00,0.28241570426853196,0.717584295731468,0,DOWN,0.717584295731468,2026-09-02 03:56:00+00:00,0.75,0.74,0.26,0.26,0.45758429573146797,0,1,2.7599395989671844,0.11439607393286699,9.1349999999984,0.6529302910192663
KXBTC15M-26SEP020245-45,10.0,5.0,1,85.86000000000058,85.86000000000058,0.0011073170234709756,146.77000000000407,0.0018943476239535277,118.60000000000582,138.43000000000757,137.88999999999942,135.34000000001106,118.60000000000582,138.43000000000757,137.88999999999942,135.34000000001106,162.17999999999302,0.0006743864670390553,17.172000000000118,0.5294117647059088,1,0,2026-09-02 06:40:00+00:00,2026-09-02 06:30:00+00:00,0.9088300704134157,0.09116992958658432,1,UP,0.9088300704134157,2026-09-02 06:40:00+00:00,0.37,0.36,0.64,0.37,0.5388300704134157,1,1,2.4562974876038264,0.10776601408268313,17.172000000000118,0.8324367617483491
KXBTC15M-26SEP020415-15,11.0,4.0,0,-61.10000000000582,61.10000000000582,-0.000788966045148302,-75.68000000000757,-0.0009770492827635565,-86.24000000000524,-99.66000000000349,-95.38999999999942,-103.2100000000064,86.24000000000524,99.66000000000349,95.38999999999942,103.2100000000064,128.88000000000466,0.0004406944259822732,15.275000000001455,0.4740844196151739,0,0,2026-09-02 08:11:00+00:00,2026-09-02 08:00:00+00:00,0.20013223284735457,0.7998677671526454,0,DOWN,0.7998677671526454,2026-09-02 08:11:00+00:00,0.74,0.73,0.27,0.27,0.5298677671526454,1,1,2.962473211676464,0.13246694178816135,15.275000000001455,0.7174795809459567
KXBTC15M-26SEP020945-45,11.0,4.0,1,13.930000000007567,13.930000000007567,0.00018122635470938173,82.86000000000058,0.0010789586525491483,119.34000000001106,196.86000000000058,287.77999999999884,221.69000000000233,119.34000000001106,196.86000000000058,287.77999999999884,221.69000000000233,334.3899999999994,0.0004774611705531683,3.4825000000018917,0.041657944316539346,1,0,2026-09-02 13:41:00+00:00,2026-09-02 13:30:00+00:00,0.7557194687242422,0.24428053127575777,1,UP,0.7557194687242422,2026-09-02 13:41:00+00:00,0.15,0.14,0.86,0.15,0.6057194687242422,1,1,5.038129791494948,0.15142986718106055,3.4825000000018917,0.5078293040611862
