timestamp_utc,contract,target,seconds_left,btc_price,btc_gap,preferred_side,preferred_ask,preferred_fair,edge,fair_move_5s,fair_move_15s,fair_move_30s,ask_move_5s,ask_move_15s,ask_move_30s,candidate_persistence_30s,provisional_candidate
2026-09-05T11:22:46.505057+00:00,KXBTC15M-26SEP050730-30,79655.83,433.49,79628.63,-27.19999999999709,DOWN,0.66,0.8797626907033199,0.21976269070331989,4.691687344515749e-05,0.004444821973171864,0.0067180297409734635,0.0,0.0,-0.039999999999999925,0,False
2026-09-05T11:22:51.541541+00:00,KXBTC15M-26SEP050730-30,79655.83,428.46,79628.63,-27.19999999999709,DOWN,0.67,0.8801445827173839,0.2101445827173839,0.0003818920140640225,0.00042880888750918,0.00674975112568299,0.010000000000000009,0.010000000000000009,0.010000000000000009,0,False
2026-09-05T11:22:56.515643+00:00,KXBTC15M-26SEP050730-30,79655.83,423.48,79628.63,-27.19999999999709,DOWN,0.67,0.8803976112396087,0.21039761123960865,0.0006349205362887744,0.0008301591160895239,0.0050797425094606385,0.010000000000000009,0.010000000000000009,0.010000000000000009,0,False
2026-09-05T11:23:01.530773+00:00,KXBTC15M-26SEP050730-30,79655.83,418.47,79629.41,-26.419999999998254,DOWN,0.67,0.8763954906193432,0.20639549061934315,-0.0040021206202655035,-0.003367200083976729,-0.0033202832105315716,0.0,0.010000000000000009,0.010000000000000009,0,False
2026-09-05T11:23:06.530939+00:00,KXBTC15M-26SEP050730-30,79655.83,413.47,79629.42,-26.410000000003492,DOWN,0.67,0.8766888133152113,0.20668881331521127,0.00029332269586812565,-0.0030738773881086034,-0.003026960514663446,0.0,0.010000000000000009,0.010000000000000009,0,False
2026-09-05T11:23:11.516531+00:00,KXBTC15M-26SEP050730-30,79655.83,408.48,79629.41,-26.419999999998254,DOWN,0.67,0.8767498164334363,0.20674981643343626,0.0003543258140931149,-0.0036477948061723886,-0.0028176356900828647,0.0,0.0,0.010000000000000009,0,False
2026-09-05T11:23:16.510311+00:00,KXBTC15M-26SEP050730-30,79655.83,403.49,79629.41,-26.419999999998254,DOWN,0.67,0.8767498164334363,0.20674981643343626,6.100311822498927e-05,-0.0036477948061723886,-0.003012874269883614,0.0,0.0,0.010000000000000009,0,False
2026-09-05T11:23:21.530347+00:00,KXBTC15M-26SEP050730-30,79655.83,398.47,79629.41,-26.419999999998254,DOWN,0.69,0.8767498164334363,0.18674981643343636,0.0,0.0003543258140931149,-0.003012874269883614,0.019999999999999907,0.019999999999999907,0.029999999999999916,0,False
2026-09-05T11:23:26.511087+00:00,KXBTC15M-26SEP050730-30,79655.83,393.49,79629.41,-26.419999999998254,DOWN,0.69,0.8767498164334363,0.18674981643343636,0.0,6.100311822498927e-05,-0.0033947662839476367,0.019999999999999907,0.019999999999999907,0.019999999999999907,0,False
2026-09-05T11:23:31.512807+00:00,KXBTC15M-26SEP050730-30,79655.83,388.49,79629.41,-26.419999999998254,DOWN,0.69,0.8788499343672718,0.18884993436727182,0.002100117933835466,0.002100117933835466,-0.0015476768723369227,0.0,0.019999999999999907,0.019999999999999907,0,False
2026-09-05T11:23:36.533487+00:00,KXBTC15M-26SEP050730-30,79655.83,383.47,79629.42,-26.410000000003492,DOWN,0.69,0.8785275344663924,0.18852753446639248,-0.00032239990087934434,0.0017777180329561215,0.0018387211511811108,0.0,0.0,0.019999999999999907,0,False
2026-09-05T11:23:41.510923+00:00,KXBTC15M-26SEP050730-30,79655.83,378.49,79629.41,-26.419999999998254,DOWN,0.69,0.878187774461002,0.1881877744610021,-0.0006621599062697214,0.0014379580275657444,0.0014989611457907337,0.0,0.0,0.019999999999999907,0,False
2026-09-05T11:23:46.514872+00:00,KXBTC15M-26SEP050730-30,79655.83,373.49,79629.41,-26.419999999998254,DOWN,0.69,0.878187774461002,0.1881877744610021,0.0,-0.0006621599062697214,0.0014379580275657444,0.0,0.0,0.019999999999999907,0,False
2026-09-05T11:23:51.524298+00:00,KXBTC15M-26SEP050730-30,79655.83,368.48,79629.41,-26.419999999998254,DOWN,0.73,0.878187774461002,0.14818777446100206,0.0,-0.0006621599062697214,0.0014379580275657444,0.040000000000000036,0.040000000000000036,0.05999999999999994,0,False
2026-09-05T11:23:56.510892+00:00,KXBTC15M-26SEP050730-30,79655.83,363.49,79629.41,-26.419999999998254,DOWN,0.73,0.878215009781003,0.148215009781003,2.7235320000928986e-05,-0.0003125246853894481,0.0014651933475666734,0.040000000000000036,0.040000000000000036,0.040000000000000036,0,False
2026-09-05T11:24:01.522291+00:00,KXBTC15M-26SEP050730-30,79655.83,358.48,79629.41,-26.419999999998254,DOWN,0.73,0.8787446581565548,0.1487446581565548,0.0005296483755518056,0.0005568836955527345,-0.0001052762107169869,0.0,0.040000000000000036,0.040000000000000036,0,False
2026-09-05T11:24:06.544313+00:00,KXBTC15M-26SEP050730-30,79655.83,353.46,79629.42,-26.410000000003492,DOWN,0.73,0.8784371116836934,0.14843711168369345,-0.00030754647286135306,0.0002493372226913815,-9.042278269899562e-05,0.0,0.0,0.040000000000000036,0,False
2026-09-05T11:24:11.521907+00:00,KXBTC15M-26SEP050730-30,79655.83,348.48,79629.41,-26.419999999998254,DOWN,0.73,0.8787109077989821,0.1487109077989821,-3.3750357572692735e-05,0.0004958980179791128,0.0005231333379800418,0.0,0.0,0.040000000000000036,0,False
2026-09-05T11:24:16.519210+00:00,KXBTC15M-26SEP050730-30,79655.83,343.48,79629.42,-26.410000000003492,DOWN,0.73,0.8782765581304565,0.14827655813045648,-0.00016055355323696396,6.154834945348853e-05,8.878366945441751e-05,0.0,0.0,0.040000000000000036,0,False
2026-09-05T11:24:21.539328+00:00,KXBTC15M-26SEP050730-30,79655.83,338.46,79629.42,-26.410000000003492,DOWN,0.75,0.8782765581304565,0.12827655813045646,0.0,-0.000468100026098317,8.878366945441751e-05,0.020000000000000018,0.020000000000000018,0.020000000000000018,0,False
2026-09-05T11:24:26.519235+00:00,KXBTC15M-26SEP050730-30,79655.83,333.48,79629.42,-26.410000000003492,DOWN,0.75,0.8783015001186084,0.1283015001186084,2.49419881519497e-05,-0.00013561156508501426,8.649033760543823e-05,0.020000000000000018,0.020000000000000018,0.020000000000000018,0,False
2026-09-05T11:24:31.514871+00:00,KXBTC15M-26SEP050730-30,79655.83,328.49,79629.41,-26.419999999998254,DOWN,0.75,0.8815876265482621,0.13158762654826206,0.003311068417805596,0.0028767187492799717,0.0033726167672590845,0.0,0.020000000000000018,0.020000000000000018,0,False
2026-09-05T11:24:36.554428+00:00,KXBTC15M-26SEP050730-30,79655.83,323.45,79631.01,-24.820000000006985,DOWN,0.75,0.8710106392993535,0.12101063929935352,-0.010576987248908543,-0.0072659188311029466,-0.0074264723843399105,0.0,0.0,0.020000000000000018,0,False
2026-09-05T11:24:41.512970+00:00,KXBTC15M-26SEP050730-30,79655.83,318.49,79631.02,-24.80999999999767,DOWN,0.75,0.8710106392993535,0.12101063929935352,-0.010576987248908543,-0.0072659188311029466,-0.0074264723843399105,0.0,0.0,0.020000000000000018,0,False
2026-09-05T11:24:46.518629+00:00,KXBTC15M-26SEP050730-30,79655.83,313.48,79631.01,-24.820000000006985,DOWN,0.75,0.871490216588281,0.12149021658828096,0.00047957728892744633,-0.010097409959981096,-0.0072206912107011245,0.0,0.0,0.020000000000000018,0,False
2026-09-05T11:24:51.536080+00:00,KXBTC15M-26SEP050730-30,79655.83,308.46,79631.01,-24.820000000006985,DOWN,0.75,0.8724059628129948,0.12240596281299476,0.0009157462247137982,-0.009181663735267298,-0.005870595317461702,0.0,0.0,0.020000000000000018,0,False
2026-09-05T11:24:56.539925+00:00,KXBTC15M-26SEP050730-30,79655.83,303.46,79631.01,-24.820000000006985,DOWN,0.75,0.8724059628129948,0.12240596281299476,0.0,0.0013953235136412445,-0.005895537305613652,0.0,0.0,0.0,0,False
2026-09-05T11:25:01.522534+00:00,KXBTC15M-26SEP050730-30,79655.83,298.48,79631.01,-24.820000000006985,DOWN,0.75,0.8737666576617619,0.12376665766176187,0.0013606948487671078,0.002276441073480906,-0.00782096888650019,0.0,0.0,0.0,0,False
2026-09-05T11:25:06.534145+00:00,KXBTC15M-26SEP050730-30,79655.83,293.47,79631.01,-24.820000000006985,DOWN,0.78,0.8740139909868518,0.09401399098685181,0.0002473333250899712,0.002523774398570877,-0.007573635561410219,0.030000000000000027,0.030000000000000027,0.030000000000000027,0,False
2026-09-05T11:25:11.544668+00:00,KXBTC15M-26SEP050730-30,79655.83,288.46,79631.02,-24.80999999999767,DOWN,0.78,0.8737183278414499,0.09371832784144984,-0.0002956631454019698,0.0013123650284551092,0.0027076885420963537,0.0,0.030000000000000027,0.030000000000000027,0,False
2026-09-05T11:25:16.514275+00:00,KXBTC15M-26SEP050730-30,79655.83,283.49,79631.01,-24.820000000006985,DOWN,0.78,0.873833651636591,0.09383365163659096,-0.00018033935026084968,0.0014276888235962293,0.002823012337237474,0.0,0.030000000000000027,0.030000000000000027,0,False
2026-09-05T11:25:21.515758+00:00,KXBTC15M-26SEP050730-30,79655.83,278.48,79631.01,-24.820000000006985,DOWN,0.78,0.8739924560775978,0.09399245607759776,0.00015880444100679902,0.00022579841583592053,0.0025022394893168265,0.0,0.030000000000000027,0.030000000000000027,0,False
2026-09-05T11:25:26.532732+00:00,KXBTC15M-26SEP050730-30,79655.83,273.47,79631.01,-24.820000000006985,DOWN,0.78,0.8741357375324474,0.09413573753244742,0.00014328145484965304,0.00012174654559560238,0.0017297747194526814,0.0,0.0,0.030000000000000027,0,False
2026-09-05T11:25:31.520724+00:00,KXBTC15M-26SEP050730-30,79655.83,268.48,79631.01,-24.820000000006985,DOWN,0.78,0.8785937156006283,0.09859371560062824,0.0046012595230304765,0.0047600639640372755,0.006187752787633505,0.0,0.0,0.030000000000000027,0,False
2026-09-05T11:25:36.535744+00:00,KXBTC15M-26SEP050730-30,79655.83,263.46,79631.01,-24.820000000006985,DOWN,0.76,0.8785937156006283,0.11859371560062826,0.0,0.0046012595230304765,0.004579724613776426,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,0,False
2026-09-05T11:25:41.513999+00:00,KXBTC15M-26SEP050730-30,79655.83,258.49,79631.02,-24.80999999999767,DOWN,0.76,0.8789120241219468,0.11891202412194679,0.00031830852131853327,0.00491956804434901,0.004898033135094959,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,0,False
2026-09-05T11:25:46.513098+00:00,KXBTC15M-26SEP050730-30,79655.83,253.49,79631.02,-24.80999999999767,DOWN,0.76,0.8790740278541096,0.11907402785410959,0.0004803122534813298,0.004938290321662153,0.005355700012659725,0.0,-0.020000000000000018,-0.020000000000000018,0,False
2026-09-05T11:25:51.659394+00:00,KXBTC15M-26SEP050730-30,79655.83,248.34,79631.01,-24.820000000006985,DOWN,0.76,0.878756086450951,0.11875608645095104,-0.00031794140315855035,0.00016237085032277943,0.004763630373353256,0.0,0.0,-0.020000000000000018,0,False
2026-09-05T11:25:56.522598+00:00,KXBTC15M-26SEP050730-30,79655.83,243.48,79631.01,-24.820000000006985,DOWN,0.76,0.8788092445676741,0.11880924456767405,-0.0002647832864355326,-0.0001027795542727361,0.004816788490076274,0.0,0.0,-0.020000000000000018,0,False
2026-09-05T11:26:01.515668+00:00,KXBTC15M-26SEP050730-30,79655.83,238.48,79631.01,-24.820000000006985,DOWN,0.76,0.8798942109614337,0.11989421096143371,0.0011381245104826743,0.0008201831073241239,0.005758473428986277,0.0,0.0,-0.020000000000000018,0,False
2026-09-05T11:26:06.552469+00:00,KXBTC15M-26SEP050730-30,79655.83,233.45,79631.02,-24.80999999999767,DOWN,0.81,0.8808578996306986,0.07085789963069855,0.0009636886692648838,0.0017838717765890078,0.0022641840300703375,0.050000000000000044,0.050000000000000044,0.050000000000000044,0,False
2026-09-05T11:26:11.517627+00:00,KXBTC15M-26SEP050730-30,79655.83,228.48,79631.01,-24.820000000006985,DOWN,0.81,0.8809284705459924,0.07092847054599238,0.0010342595845587166,0.002172384095041391,0.002016446424045637,0.050000000000000044,0.050000000000000044,0.050000000000000044,0,False
2026-09-05T11:26:16.553076+00:00,KXBTC15M-26SEP050730-30,79655.83,223.45,79631.01,-24.820000000006985,DOWN,0.81,0.8843523245110686,0.07435232451106855,0.0034238539650761624,0.004458113549634879,0.005278296656959003,0.0,0.050000000000000044,0.050000000000000044,0,False
2026-09-05T11:26:21.536234+00:00,KXBTC15M-26SEP050730-30,79655.83,218.46,79631.01,-24.820000000006985,DOWN,0.81,0.8854874029557255,0.07548740295572542,0.004558932409733041,0.005593191994291757,0.006413375101615881,0.0,0.050000000000000044,0.050000000000000044,0,False
2026-09-05T11:26:26.511234+00:00,KXBTC15M-26SEP050730-30,79655.83,213.49,79631.01,-24.820000000006985,DOWN,0.81,0.8862924125545757,0.07629241255457564,0.0019400880435070933,0.005434512923877088,0.0075363261036246465,0.0,0.0,0.050000000000000044,0,False
2026-09-05T11:26:31.524256+00:00,KXBTC15M-26SEP050730-30,79655.83,208.48,79631.01,-24.820000000006985,DOWN,0.81,0.8881180176832592,0.0781180176832591,0.0018256051286834607,0.007189547137266716,0.008223806721825433,0.0,0.0,0.050000000000000044,0,False
2026-09-05T11:26:36.531940+00:00,KXBTC15M-26SEP050730-30,79655.83,203.47,79631.01,-24.820000000006985,DOWN,0.85,0.8890940109278543,0.03909401092785436,0.0009759932445951858,0.00474168641678574,0.009199799966420619,0.039999999999999925,0.039999999999999925,0.08999999999999997,0,False
2026-09-05T11:26:41.526118+00:00,KXBTC15M-26SEP050730-30,79655.83,198.47,79631.01,-24.820000000006985,DOWN,0.85,0.8902660444525583,0.040266044452558325,0.0021480267692991495,0.00397363189798261,0.009337573906565866,0.039999999999999925,0.039999999999999925,0.039999999999999925,0,False
2026-09-05T11:26:46.515813+00:00,KXBTC15M-26SEP050730-30,79655.83,193.48,79628.57,-27.25999999999476,DOWN,0.85,0.9020374337622656,0.05203743376226566,0.0129434228344113,0.015745021207689947,0.021108963216273202,0.0,0.039999999999999925,0.039999999999999925,0,False
2026-09-05T11:26:51.544277+00:00,KXBTC15M-26SEP050730-30,79655.83,188.46,79628.57,-27.25999999999476,DOWN,0.85,0.9026594258820073,0.05265942588200734,0.0006219921197416767,0.013565414954152977,0.017172022926281838,0.0,0.0,0.039999999999999925,0,False
2026-09-05T11:26:56.518672+00:00,KXBTC15M-26SEP050730-30,79655.83,183.48,79628.57,-27.25999999999476,DOWN,0.85,0.9030301574276941,0.053030157427694125,0.0009927236654284632,0.013936146499839763,0.01673774487311841,0.0,0.0,0.039999999999999925,0,False
2026-09-05T11:27:01.523116+00:00,KXBTC15M-26SEP050730-30,79655.83,178.48,79628.57,-27.25999999999476,DOWN,0.85,0.9034671463120433,0.0534671463120433,0.0004369888843491765,0.0014297125497776397,0.017174733757467586,0.0,0.0,0.039999999999999925,0,False
2026-09-05T11:27:06.548635+00:00,KXBTC15M-26SEP050730-30,79655.83,173.45,79628.58,-27.25,DOWN,0.85,0.9044658371455488,0.05446583714554887,0.0009986908335055666,0.0018064112635415297,0.015371826217694506,0.0,0.0,0.0,0,False
2026-09-05T11:27:11.517559+00:00,KXBTC15M-26SEP050730-30,79655.83,168.48,79628.86,-26.970000000001164,DOWN,0.85,0.9042351614017132,0.05423516140171325,0.0007680150896699489,0.001575735519705912,0.015141150473858889,0.0,0.0,0.0,0,False
2026-09-05T11:27:16.512412+00:00,KXBTC15M-26SEP050730-30,79655.83,163.49,79628.92,-26.910000000003492,DOWN,0.85,0.9040316411851017,0.05403164118510173,-0.0004341959604471368,0.0010014837574076063,0.013765596732543406,0.0,0.0,0.0,0,False
2026-09-05T11:27:21.567868+00:00,KXBTC15M-26SEP050730-30,79655.83,158.43,79629.34,-26.49000000000524,DOWN,0.9,0.9038585303142471,0.0038585303142470995,-0.00017311087085458698,-0.0006073068313017238,0.001199104432239806,0.050000000000000044,0.050000000000000044,0.050000000000000044,0,False
2026-09-05T11:27:26.516698+00:00,KXBTC15M-26SEP050730-30,79655.83,153.48,79629.33,-26.5,DOWN,0.9,0.9038775912163576,0.0038775912163575565,-0.0001540499687441299,-0.0005882459291912667,0.001218165334350263,0.050000000000000044,0.050000000000000044,0.050000000000000044,0,False
2026-09-05T11:27:31.518393+00:00,KXBTC15M-26SEP050730-30,79655.83,148.48,79629.34,-26.49000000000524,DOWN,0.9,0.9066032623396029,0.0066032623396028445,0.002725671123245288,0.002571621154501158,0.0035731049119087643,0.0,0.050000000000000044,0.050000000000000044,0,False
2026-09-05T11:27:36.527268+00:00,KXBTC15M-26SEP050730-30,79655.83,143.47,79629.33,-26.5,DOWN,0.9,0.9066198628321561,0.006619862832156098,1.6600492553253687e-05,0.0025882216470544117,0.0031527165201128415,0.0,0.050000000000000044,0.050000000000000044,0,False
2026-09-05T11:27:41.516192+00:00,KXBTC15M-26SEP050730-30,79655.83,138.48,79630.27,-25.55999999999767,DOWN,0.9,0.9047667494977377,0.004766749497737699,-0.0018365128418651455,0.0009082191834905995,0.0003009123521888757,0.0,0.0,0.050000000000000044,0,False
2026-09-05T11:27:46.522006+00:00,KXBTC15M-26SEP050730-30,79655.83,133.48,79630.27,-25.55999999999767,DOWN,0.9,0.9031469761881858,0.003146976188185824,-0.0016197733095518752,-0.0034562861514170207,-0.0008846649969158626,0.0,0.0,0.050000000000000044,0,False
2026-09-05T11:27:51.519559+00:00,KXBTC15M-26SEP050730-30,79655.83,128.48,79630.93,-24.90000000000873,DOWN,0.9,0.899888793294145,-0.00011120670585507142,-0.00487795620359277,-0.006714469045457916,-0.004142847890956758,0.0,0.0,0.050000000000000044,0,False
2026-09-05T11:27:56.547864+00:00,KXBTC15M-26SEP050730-30,79655.83,123.45,79630.93,-24.90000000000873,DOWN,0.9,0.8997398372628762,-0.00026016273712381466,-0.00014895603126874324,-0.005026912234861514,-0.004137753953481371,0.0,0.0,0.0,0,False
2026-09-05T11:28:01.534721+00:00,KXBTC15M-26SEP050730-30,79655.83,118.47,79630.93,-24.90000000000873,DOWN,0.9,0.9015588177961802,0.0015588177961801675,0.0016700245020352389,-0.0015881583920056563,-0.005044444543422677,0.0,0.0,0.0,0,False
2026-09-05T11:28:06.520900+00:00,KXBTC15M-26SEP050730-30,79655.83,113.48,79630.93,-24.90000000000873,DOWN,0.9,0.9026715855971351,0.0026715855971350955,0.00293174833425891,0.002782792302990167,-0.003931676742467749,0.0,0.0,0.0,0,False
2026-09-05T11:28:11.519979+00:00,KXBTC15M-26SEP050730-30,79655.83,108.48,79630.93,-24.90000000000873,DOWN,0.9,0.9041447265809329,0.0041447265809329,0.002585908784752733,0.004255933286787972,-0.0006220229168047986,0.0,0.0,0.0,0,False
2026-09-05T11:28:16.545124+00:00,KXBTC15M-26SEP050730-30,79655.83,103.45,79630.93,-24.90000000000873,DOWN,0.9,0.9043686487798722,0.004368648779872197,0.000223922198939297,0.00280983098369203,0.0012216725916863735,0.0,0.0,0.0,0,False
2026-09-05T11:28:21.539807+00:00,KXBTC15M-26SEP050730-30,79655.83,98.46,79630.93,-24.90000000000873,DOWN,0.934,0.9067587393132219,-0.027241260686778124,0.002614012732289006,0.004087153716086811,0.006869946019076978,0.03400000000000003,0.03400000000000003,0.03400000000000003,0,False
2026-09-05T11:28:26.517877+00:00,KXBTC15M-26SEP050730-30,79655.83,93.48,79630.93,-24.90000000000873,DOWN,0.934,0.9067587393132219,-0.027241260686778124,0.002390090533349709,0.004087153716086811,0.006869946019076978,0.03400000000000003,0.03400000000000003,0.03400000000000003,0,False
2026-09-05T11:28:31.552670+00:00,KXBTC15M-26SEP050730-30,79655.83,88.45,79630.94,-24.889999999999418,DOWN,0.934,0.9075351216155373,-0.026464878384462764,0.0007763823023153593,0.0031664728356650684,0.005976303819357098,0.0,0.03400000000000003,0.03400000000000003,0,False
2026-09-05T11:28:36.543528+00:00,KXBTC15M-26SEP050730-30,79655.83,83.46,79630.93,-24.90000000000873,DOWN,0.934,0.9074269490762983,-0.02657305092370177,0.000668209763076355,0.000668209763076355,0.004755363479163166,0.0,0.0,0.03400000000000003,0,False
2026-09-05T11:28:41.518083+00:00,KXBTC15M-26SEP050730-30,79655.83,78.48,79630.93,-24.90000000000873,DOWN,0.934,0.9074269490762983,-0.02657305092370177,-0.00010817253923900427,0.000668209763076355,0.004755363479163166,0.0,0.0,0.03400000000000003,0,False
2026-09-05T11:28:46.529036+00:00,KXBTC15M-26SEP050730-30,79655.83,73.47,79630.93,-24.90000000000873,DOWN,0.934,0.9075450445784932,-0.026454955421506887,0.00011809550219488152,0.0007863052652712366,0.0034003179975602427,0.0,0.0,0.03400000000000003,0,False
2026-09-05T11:28:51.534348+00:00,KXBTC15M-26SEP050730-30,79655.83,68.47,79630.93,-24.90000000000873,DOWN,0.978,0.9075129466807184,-0.07048705331928162,-3.209789777480765e-05,-2.2174934818930403e-05,0.003144297900846138,0.04399999999999993,0.04399999999999993,0.07799999999999996,0,False
2026-09-05T11:28:56.522195+00:00,KXBTC15M-26SEP050730-30,79655.83,63.48,79630.94,-24.889999999999418,DOWN,0.978,0.9077886478160309,-0.07021135218396912,0.00024360323753769286,0.0003616987397325744,0.0010299085028089294,0.04399999999999993,0.04399999999999993,0.04399999999999993,0,False
2026-09-05T11:29:01.519366+00:00,KXBTC15M-26SEP050730-30,79655.83,58.48,79630.93,-24.90000000000873,DOWN,0.978,0.9068573929663757,-0.0711426070336243,-0.0006555537143426715,-0.0005695561099225976,9.86536531537574e-05,0.0,0.04399999999999993,0.04399999999999993,0,False
