minute,distance_threshold,fair_mode,fair_threshold,warned,misses_caught,total_misses,good_flagged,kept,kept_accuracy,rule,catch_all,capture_rate
5,10,OR,0.05,16,2,2,14,16,1.0,5m dist_gain < +$10 OR fair_gain < 0.050,True,1.0
6,20,OR,0.075,16,2,2,14,16,1.0,6m dist_gain < +$20 OR fair_gain < 0.075,True,1.0
6,25,NONE,,16,2,2,14,16,1.0,6m distance_gain < +$25,True,1.0
6,25,OR,0.0,16,2,2,14,16,1.0,6m dist_gain < +$25 OR fair_gain < 0.000,True,1.0
6,25,OR,0.025,16,2,2,14,16,1.0,6m dist_gain < +$25 OR fair_gain < 0.025,True,1.0
6,25,OR,0.05,16,2,2,14,16,1.0,6m dist_gain < +$25 OR fair_gain < 0.050,True,1.0
2,30,OR,0.025,17,2,2,15,15,1.0,2m dist_gain < +$30 OR fair_gain < 0.025,True,1.0
3,10,OR,0.075,17,2,2,15,15,1.0,3m dist_gain < +$10 OR fair_gain < 0.075,True,1.0
3,15,OR,0.075,17,2,2,15,15,1.0,3m dist_gain < +$15 OR fair_gain < 0.075,True,1.0
3,20,OR,0.075,17,2,2,15,15,1.0,3m dist_gain < +$20 OR fair_gain < 0.075,True,1.0
3,30,NONE,,17,2,2,15,15,1.0,3m distance_gain < +$30,True,1.0
3,30,OR,0.0,17,2,2,15,15,1.0,3m dist_gain < +$30 OR fair_gain < 0.000,True,1.0
4,15,OR,0.1,17,2,2,15,15,1.0,4m dist_gain < +$15 OR fair_gain < 0.100,True,1.0
4,20,OR,0.025,17,2,2,15,15,1.0,4m dist_gain < +$20 OR fair_gain < 0.025,True,1.0
4,20,OR,0.05,17,2,2,15,15,1.0,4m dist_gain < +$20 OR fair_gain < 0.050,True,1.0
5,10,OR,0.075,17,2,2,15,15,1.0,5m dist_gain < +$10 OR fair_gain < 0.075,True,1.0
6,20,OR,0.1,17,2,2,15,15,1.0,6m dist_gain < +$20 OR fair_gain < 0.100,True,1.0
6,25,OR,0.075,17,2,2,15,15,1.0,6m dist_gain < +$25 OR fair_gain < 0.075,True,1.0
6,25,OR,0.1,17,2,2,15,15,1.0,6m dist_gain < +$25 OR fair_gain < 0.100,True,1.0
2,10,OR,0.05,18,2,2,16,14,1.0,2m dist_gain < +$10 OR fair_gain < 0.050,True,1.0
2,15,OR,0.05,18,2,2,16,14,1.0,2m dist_gain < +$15 OR fair_gain < 0.050,True,1.0
2,20,OR,0.05,18,2,2,16,14,1.0,2m dist_gain < +$20 OR fair_gain < 0.050,True,1.0
2,25,OR,0.05,18,2,2,16,14,1.0,2m dist_gain < +$25 OR fair_gain < 0.050,True,1.0
3,10,OR,0.1,18,2,2,16,14,1.0,3m dist_gain < +$10 OR fair_gain < 0.100,True,1.0
3,15,OR,0.1,18,2,2,16,14,1.0,3m dist_gain < +$15 OR fair_gain < 0.100,True,1.0
3,20,OR,0.1,18,2,2,16,14,1.0,3m dist_gain < +$20 OR fair_gain < 0.100,True,1.0
3,25,OR,0.075,18,2,2,16,14,1.0,3m dist_gain < +$25 OR fair_gain < 0.075,True,1.0
3,30,OR,0.025,18,2,2,16,14,1.0,3m dist_gain < +$30 OR fair_gain < 0.025,True,1.0
3,30,OR,0.05,18,2,2,16,14,1.0,3m dist_gain < +$30 OR fair_gain < 0.050,True,1.0
4,20,OR,0.075,18,2,2,16,14,1.0,4m dist_gain < +$20 OR fair_gain < 0.075,True,1.0
4,25,NONE,,18,2,2,16,14,1.0,4m distance_gain < +$25,True,1.0
4,25,OR,0.0,18,2,2,16,14,1.0,4m dist_gain < +$25 OR fair_gain < 0.000,True,1.0
5,10,OR,0.1,18,2,2,16,14,1.0,5m dist_gain < +$10 OR fair_gain < 0.100,True,1.0
5,15,NONE,,18,2,2,16,14,1.0,5m distance_gain < +$15,True,1.0
5,15,OR,0.0,18,2,2,16,14,1.0,5m dist_gain < +$15 OR fair_gain < 0.000,True,1.0
5,15,OR,0.025,18,2,2,16,14,1.0,5m dist_gain < +$15 OR fair_gain < 0.025,True,1.0
5,15,OR,0.05,18,2,2,16,14,1.0,5m dist_gain < +$15 OR fair_gain < 0.050,True,1.0
5,20,NONE,,18,2,2,16,14,1.0,5m distance_gain < +$20,True,1.0
5,20,OR,0.0,18,2,2,16,14,1.0,5m dist_gain < +$20 OR fair_gain < 0.000,True,1.0
5,20,OR,0.025,18,2,2,16,14,1.0,5m dist_gain < +$20 OR fair_gain < 0.025,True,1.0
5,20,OR,0.05,18,2,2,16,14,1.0,5m dist_gain < +$20 OR fair_gain < 0.050,True,1.0
5,25,NONE,,18,2,2,16,14,1.0,5m distance_gain < +$25,True,1.0
5,25,OR,0.0,18,2,2,16,14,1.0,5m dist_gain < +$25 OR fair_gain < 0.000,True,1.0
5,25,OR,0.025,18,2,2,16,14,1.0,5m dist_gain < +$25 OR fair_gain < 0.025,True,1.0
5,25,OR,0.05,18,2,2,16,14,1.0,5m dist_gain < +$25 OR fair_gain < 0.050,True,1.0
5,30,NONE,,18,2,2,16,14,1.0,5m distance_gain < +$30,True,1.0
5,30,OR,0.0,18,2,2,16,14,1.0,5m dist_gain < +$30 OR fair_gain < 0.000,True,1.0
5,30,OR,0.025,18,2,2,16,14,1.0,5m dist_gain < +$30 OR fair_gain < 0.025,True,1.0
5,30,OR,0.05,18,2,2,16,14,1.0,5m dist_gain < +$30 OR fair_gain < 0.050,True,1.0
6,30,NONE,,18,2,2,16,14,1.0,6m distance_gain < +$30,True,1.0
6,30,OR,0.0,18,2,2,16,14,1.0,6m dist_gain < +$30 OR fair_gain < 0.000,True,1.0
6,30,OR,0.025,18,2,2,16,14,1.0,6m dist_gain < +$30 OR fair_gain < 0.025,True,1.0
6,30,OR,0.05,18,2,2,16,14,1.0,6m dist_gain < +$30 OR fair_gain < 0.050,True,1.0
