ask_max,fair_min,edge_min,min_tl,max_tl,min_gap,min_ratio,calls,contracts,coverage,accuracy,avg_ask,avg_time_left,meets90,validation_rank
0.6,0.75,0.1,8.0,12.0,75.0,0.0,18,83,0.21686746987951808,0.9444444444444444,0.5366666666666667,10.38888888888889,True,63
0.6,0.75,0.12,8.0,12.0,75.0,0.0,18,83,0.21686746987951808,0.9444444444444444,0.5366666666666667,10.38888888888889,True,64
0.6,0.6,0.05,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,65
0.6,0.6,0.05,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,66
0.6,0.6,0.08,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,67
0.6,0.6,0.08,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,68
0.6,0.6,0.1,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,69
0.6,0.6,0.1,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,70
0.6,0.6,0.12,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,71
0.6,0.6,0.12,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,72
0.6,0.65,0.05,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,73
0.6,0.65,0.05,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,74
0.6,0.65,0.08,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,75
0.6,0.65,0.08,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,76
0.6,0.65,0.1,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,77
0.6,0.65,0.1,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,78
0.6,0.65,0.12,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,79
0.6,0.65,0.12,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,80
0.6,0.7,0.05,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,81
0.6,0.7,0.05,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,82
0.6,0.7,0.08,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,83
0.6,0.7,0.08,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,84
0.6,0.7,0.1,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,85
0.6,0.7,0.1,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,86
0.6,0.7,0.12,2.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,87
0.6,0.7,0.12,4.0,10.0,75.0,0.0,17,83,0.20481927710843373,0.9411764705882353,0.5352941176470588,8.588235294117647,True,88
