ticker,official_side,last_remaining_min,last_distance,last_side,last_matches_official,one_min_remaining,one_min_distance,one_min_side,one_min_matches_official,final60_n,final60_mean_distance,final60_side,final60_matches_official,final90_n,final90_mean_distance,final90_side,final90_matches_official,final120_n,final120_mean_distance,final120_side,final120_matches_official
KXBTC15M-26AUG250600-00,DOWN,0.1466296666666666,-600.7899999999936,DOWN,True,1.0297436666666666,-651.7100000000064,DOWN,True,1,-600.7899999999936,DOWN,True,2,-626.25,DOWN,True,3,-666.1133333333322,DOWN,True
KXBTC15M-26AUG250615-15,UP,0.1133158666666666,124.63999999999942,UP,True,1.0014067,91.69000000000231,UP,True,1,124.63999999999942,UP,True,2,108.16500000000087,UP,True,3,113.24333333333682,UP,True
KXBTC15M-26AUG250630-30,DOWN,0.0856002333333333,-19.96999999998661,DOWN,True,0.9736707,-25.7899999999936,DOWN,True,2,-22.879999999990105,DOWN,True,2,-22.879999999990105,DOWN,True,3,-14.769999999989523,DOWN,True
KXBTC15M-26AUG250645-45,UP,0.0527756333333333,32.77999999999884,UP,True,0.9339529333333334,13.910000000003492,UP,True,2,23.345000000001168,UP,True,2,23.345000000001168,UP,True,3,25.126666666668218,UP,True
KXBTC15M-26AUG250700-00,UP,0.0150321166666666,-1.4199999999982538,DOWN,False,0.8942026833333333,29.020000000004075,UP,True,2,13.80000000000291,UP,True,2,13.80000000000291,UP,True,3,28.75333333333644,UP,True
KXBTC15M-26AUG250715-15,DOWN,0.3376383833333333,-183.6999999999971,DOWN,True,1.22373685,-208.1600000000035,DOWN,True,1,-183.6999999999971,DOWN,True,2,-195.9300000000003,DOWN,True,2,-195.9300000000003,DOWN,True
KXBTC15M-26AUG250730-30,UP,0.3035766333333333,138.1999999999971,UP,True,1.1895222666666667,144.82000000000698,UP,True,1,138.1999999999971,UP,True,2,141.51000000000204,UP,True,2,141.51000000000204,UP,True
KXBTC15M-26AUG250745-45,DOWN,0.63883525,-51.19999999999709,DOWN,True,0.63883525,-51.19999999999709,DOWN,True,1,-51.19999999999709,DOWN,True,1,-51.19999999999709,DOWN,True,2,-35.150000000001455,DOWN,True
KXBTC15M-26AUG250800-00,DOWN,0.0787740833333333,-76.34000000001106,DOWN,True,0.9610200833333332,-37.38999999999942,DOWN,True,2,-56.86500000000524,DOWN,True,2,-56.86500000000524,DOWN,True,3,-47.290000000003296,DOWN,True
KXBTC15M-26AUG250815-15,DOWN,0.3956584,-69.33000000000175,DOWN,True,1.2831775333333333,-124.74000000000524,DOWN,True,1,-69.33000000000175,DOWN,True,2,-97.03500000000349,DOWN,True,2,-97.03500000000349,DOWN,True
KXBTC15M-26AUG250830-30,DOWN,13.631550816666667,-6.399999999994179,DOWN,True,13.631550816666667,-6.399999999994179,DOWN,True,0,,,,0,,,,0,,,
