call_number,contract_id,early_timestamp_utc,early_side,entry_ask_dollars,entry_ask_cents,seconds_remaining,minutes_remaining,time_remaining_mm_ss,official_kalshi_result,official_settlement_side,verdict,official_status,official_settlement_timestamp_utc,official_close_time_utc,official_source_url,official_response_sha256,retrieved_at_utc,source_csv_line
27,KXBTC15M-26SEP040845-45,2026-09-04T12:38:19.869591Z,UP,0.021,2.1,400.13,6.668833333333334,6:40.13,no,DOWN,WRONG,finalized,2026-09-04T12:45:05.49569Z,2026-09-04T12:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP040845-45,1552323bd8057fa4381a78e391101c09ab5a660c101256ae95d74382ebbe0a02,2026-09-21T02:31:15.614047+00:00,12176
28,KXBTC15M-26SEP040900-00,2026-09-04T12:49:45.259126Z,UP,0.2,20.0,614.74,10.245666666666667,10:14.74,no,DOWN,WRONG,finalized,2026-09-04T13:04:40.551082Z,2026-09-04T13:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP040900-00,b32c4810143177de2142258bb9038c426a901423ac2357fc57e3cb15d99aaea3,2026-09-21T02:31:15.675292+00:00,12310
29,KXBTC15M-26SEP040945-45,2026-09-04T13:34:27.433557Z,DOWN,0.46,46.0,632.57,10.542833333333334,10:32.57,yes,UP,WRONG,finalized,2026-09-04T13:45:05.504254Z,2026-09-04T13:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP040945-45,ca6bdfb4ee0fb9ccab0c66d54006147d7d4d9efecbab357e76bd460370265bec,2026-09-21T02:31:15.712146+00:00,12821
30,KXBTC15M-26SEP041000-00,2026-09-04T13:52:52.859744Z,DOWN,0.23,23.0,427.14,7.119,7:07.14,no,DOWN,CORRECT,finalized,2026-09-04T14:00:05.502516Z,2026-09-04T14:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP041000-00,9fa2c628a05a3890c7f07c77bb183965fbd151cecd785107dea4b6d94717ae24,2026-09-21T02:31:15.655873+00:00,13039
31,KXBTC15M-26SEP041015-15,2026-09-04T14:06:13.250469Z,DOWN,0.21,21.0,526.75,8.779166666666667,8:46.75,yes,UP,WRONG,finalized,2026-09-04T14:15:05.507767Z,2026-09-04T14:15:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP041015-15,54283685480873d34e01da0ab55f176da6171746e673f450ca05cbea86624c99,2026-09-21T02:31:22.126831+00:00,13196
32,KXBTC15M-26SEP041030-30,2026-09-04T14:21:23.972122Z,UP,0.13,13.0,516.03,8.6005,8:36.03,no,DOWN,WRONG,finalized,2026-09-04T14:30:05.502164Z,2026-09-04T14:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP041030-30,9c5fddac09f91ed65ecd0d4c772e2eb00f033532c151841a89d6a5f34b6a28c3,2026-09-21T02:31:22.147119+00:00,13369
33,KXBTC15M-26SEP041045-45,2026-09-04T14:36:09.745959Z,DOWN,0.34,34.0,530.25,8.8375,8:50.25,no,DOWN,CORRECT,finalized,2026-09-04T14:45:05.500376Z,2026-09-04T14:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP041045-45,db5ea3cd9410a37e1fbfef60a133ad80f7b0ae366e06f8d83c6721a7d08d19e1,2026-09-21T02:31:22.080793+00:00,13540
34,KXBTC15M-26SEP041100-00,2026-09-04T14:52:15.148739Z,UP,0.24,24.0,464.85,7.7475,7:44.85,no,DOWN,WRONG,finalized,2026-09-04T15:00:05.509091Z,2026-09-04T15:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP041100-00,3611e06ad7fad97f6e94cff533e27791441159a1c465e92949e20924ca5a6468,2026-09-21T02:31:22.099178+00:00,13730
35,KXBTC15M-26SEP041130-30,2026-09-04T15:20:06.103438Z,DOWN,0.31,31.0,593.9,9.898333333333333,9:53.90,yes,UP,WRONG,finalized,2026-09-04T15:30:05.554623Z,2026-09-04T15:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP041130-30,93264512e1859671192be10331a7caf8f204bd40cd2d449b0d8f718c7a73be3d,2026-09-21T02:31:22.131090+00:00,14055
36,KXBTC15M-26SEP041145-45,2026-09-04T15:35:21.609963Z,UP,0.39,39.0,578.39,9.639833333333334,9:38.39,yes,UP,CORRECT,finalized,2026-09-04T15:45:05.503492Z,2026-09-04T15:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP041145-45,bbb1b9df359fe14b9e82b165c3ef5f4ad08c403d89da48e989d5422df12e2b00,2026-09-21T02:31:28.414400+00:00,14234
37,KXBTC15M-26SEP041200-00,2026-09-04T15:50:32.190674Z,UP,0.19,19.0,567.81,9.4635,9:27.81,no,DOWN,WRONG,finalized,2026-09-04T16:00:25.555331Z,2026-09-04T16:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP041200-00,2614bb00ee7dccd1c8c43d81ab00a38b1521b3acfe3f363339af8980f6a36ec4,2026-09-21T02:31:28.534920+00:00,14409
